subject,bone,iters,A_before,A_after,rmsd_ab,rmsd_ba,rmsd_2way,rmsd,d_mean,d_min,d_max,d_median,d_std,d_95,d_5
15006R,tpm,25,181.0873430976992,179.64301245002738,0.0007776948922362444,0.0013221376391846819,0.001084632952283672,0.0010846329522836717,0.0005958773754773205,1.8913422041764133e-07,0.015463903478435483,0.0003716205221379982,0.000906288472051727,0.00175892800575503,3.1545602706548186e-05
15006R,tpm,50,181.0873430976992,178.5046233518314,0.0014419247927411143,0.002260930290544497,0.001896174159541144,0.0018961741595411438,0.001089624199557763,3.899337120081679e-08,0.024643412458114113,0.0006910419175799611,0.001551836185636122,0.003228333530995379,6.102519620948257e-05
15006R,tpm,100,181.0873430976992,176.76526376543768,0.0025729814594106265,0.003639247410916624,0.003151535761207081,0.003151535761207081,0.001921416462654437,4.500552919413829e-07,0.037507512499724435,0.001248877580639973,0.0024980665385869144,0.005653119383221057,0.0001222913614704719
15006R,tpm,200,181.0873430976992,174.36586724907693,0.004497779714411839,0.005666442967606629,0.005115593722360742,0.005115593722360741,0.0033383592949481956,2.843193064312431e-07,0.05410718732627571,0.0022585050451225264,0.0038761651603214254,0.009932773139436269,0.00021706221445764808
15006R,tpm,400,181.0873430976992,171.30064464148023,0.007950222979044992,0.008989278447443235,0.008485669461574688,0.008485669461574688,0.005901738901107266,1.1696468253117104e-07,0.0746861379042385,0.004201528998278298,0.006097217738793525,0.016906684236022013,0.00039661448331375777
15006R,tpm,800,181.0873430976992,167.61572447785562,0.014316255133051462,0.015029076663897873,0.014676994011103603,0.014676994011103601,0.010654257566875033,4.2109587493035e-06,0.10136093904384391,0.007786683779110697,0.010094599987154373,0.030219318399507075,0.0007802077705129152
15006R,tpm,1600,181.0873430976992,163.46250036038265,0.02649178910769185,0.026663498604080696,0.026577782525412402,0.026577782525412406,0.019549946667130277,2.875405012092862e-06,0.14661413541865714,0.01437830257870825,0.01800494680026794,0.055453478372245076,0.0013938080251056208
15283R,tpm,25,252.8166244046293,251.44294006799845,0.0006668025296499165,0.0009840284996023897,0.0008405170139792704,0.0008405170139792705,0.0004991386054341185,5.352959262153333e-08,0.011029710831441848,0.0002986335166019591,0.0006762614164314806,0.0015876111405329458,2.355079104357131e-05
15283R,tpm,50,252.8166244046293,250.3510416310633,0.0012702470358564736,0.001764474366401569,0.001537351183332939,0.0015373511833329388,0.0009369821826217547,5.538250594940072e-08,0.017691901963904667,0.0005743659897911345,0.001218816249622789,0.0029835862705238623,5.2193626942279104e-05
15283R,tpm,100,252.8166244046293,248.66237628926692,0.0023729516271081587,0.003036068257638588,0.002724757777274511,0.002724757777274511,0.0017206670718633037,2.6214427276751633e-07,0.026770916816415184,0.0010731999368695274,0.0021127256737738806,0.00545877461349396,9.123144732844482e-05
