subject,bone,bucket,r2_95,r2_50,r2_5,rmse_95,rmse_50,rmse_5,m_95,m_50,m_5
14685R,tpm,1.2000000000000002,0.9764025404703742,0.9652687311115581,0.9926896017388716,0.05747733757010328,0.0697307510670998,0.03199149506600181,-4.489420239954617,-3.4205052754799534,-2.1829898326459793
14685R,tpm,1.3,0.9746381858148985,0.9668507483249513,0.9931575499828361,0.06419731150974269,0.07339450522481535,0.033345136493784955,-4.643812053262238,-3.530578390041991,-2.2154321679072733
14685R,tpm,1.4000000000000001,0.9740200234413706,0.9644151245263369,0.9910629898903158,0.06963903807691127,0.08150159561884142,0.0408441169220387,-4.785249243629018,-3.661102126767091,-2.270038776559176
14685R,tpm,1.5,0.9694118363013676,0.9610798570485976,0.985967083397992,0.08062248312945558,0.09094245640608634,0.05460764395143475,-4.956813263555785,-3.7957400353712694,-2.341032594635618
14685R,tpm,1.6,0.9656163494731512,0.952063614650434,0.9826352303741505,0.09084093860393437,0.1072601159979595,0.06455652337451188,-5.125676439392657,-3.952338052338167,-2.407236996478029
14685R,tpm,1.7000000000000002,0.9656286982890716,0.9462901238359153,0.9782755820034764,0.09618528323254523,0.12023688425007627,0.07646887718148938,-5.26530566567807,-4.102760295922213,-2.4788341616935194
14685R,tpm,1.8,0.9587711993473021,0.9489434076849502,0.9742293348073282,0.11121438843876844,0.12376177800320687,0.0879272401352479,-5.4489880347764945,-4.212466893359488,-2.550872718296206
14685R,tpm,1.9000000000000001,0.9549860877756154,0.9469417257875445,0.9701487551911232,0.12234020522546028,0.13282272462060596,0.09962699884545084,-5.6207142818262215,-4.344727818500164,-2.624250405967842
14685R,tpm,2.0,0.9456450830300516,0.9401916860236935,0.9656312423915544,0.14117413439548507,0.1480868499382903,0.11225808563200844,-5.817888353967062,-4.494253602738407,-2.700078543979453
14685R,tpm,2.1,0.9347834736989523,0.9432044043497062,0.9592427364707623,0.162017442999733,0.15119598952764374,0.12808121864863087,-6.023317882554828,-4.598811298606944,-2.781841878834182
14685R,tpm,2.2,0.9217269937181345,0.9443419243043577,0.9539682837063106,0.18558050211167343,0.15649138412731445,0.14231639107714664,-6.236986177974362,-4.7112750087346615,-2.8626503726808417
14685R,tpm,2.3000000000000003,0.9052224109334579,0.9362767763721813,0.9432671124003381,0.21310622099722473,0.17473993434529012,0.16487725325679328,-6.457994004784459,-4.859413272763459,-2.9537894520804535
14685R,tpm,2.4000000000000004,0.8843357488771545,0.9247648880786126,0.9351062708634502,0.24524561277193002,0.1977934736009298,0.18369741193333725,-6.682548789303172,-5.016139029006043,-3.043669320773353
