sub,bone,n_iter,rmsd,h_before_rmsd,h_after_rmsd,h_diff_rmsd,h_ratio_rmsd,d_mean,d_median,d_std,d_max,d_99,d_95,h_before_mean,h_before_median,h_before_std,h_before_max,h_before_99,h_before_95,h_after_mean,h_after_median,h_after_std,h_after_max,h_after_99,h_after_95,h_diff_mean,h_diff_median,h_diff_std,h_diff_max,h_diff_99,h_diff_95,h_ratio_mean,h_ratio_median,h_ratio_std,h_ratio_max,h_ratio_99,h_ratio_95,before_points,before_cells,before_A,after_points,after_cells,after_A
50016L,mc1,400,0.006091744466443607,0.45191471105555103,0.4489370808595011,0.006050878162199306,0.006050878162199306,0.004143476187782241,0.0026995511726513894,0.004465529725097331,0.03806177894945897,0.022264589550333135,0.013628602065972818,0.4486745280174598,0.4453388566723617,0.05401920007489789,0.6481522432711669,0.5668139998401027,0.5417074183628316,0.4456727035152045,0.4418694699531236,0.05404020644019493,0.6168370560527461,0.5635971883000179,0.5396826620356091,0.0030018245022553273,0.0020162951578795163,0.00525377732602363,0.03842834088183211,0.022053352529661268,0.013346651855469155,0.0067523561188826174,0.004610515894411594,0.011570426020879567,0.08783779733221697,0.049418083358587495,0.028309623110350037,4154,7994,113.47801033145412,4045,7774,113.46621210900136
50024R,tpm,25,0.0012858988503286896,0.4423086718054526,0.4418884426628259,0.0013810369698343363,0.0013810369698343363,0.0006896478124862936,0.00034597056687383224,0.0010853210345374846,0.018214095682010316,0.005090772777085977,0.0025624842443888896,0.41594514919077064,0.41863641223225895,0.15042138816993797,0.7946086663097396,0.7004567740535228,0.65597550831369,0.41555460498835356,0.4181267396833519,0.1502656515373723,0.7874341811316117,0.6997760666246503,0.6555683237505662,0.00039054420241705674,0.00017502908537020412,0.00132466536831293,0.019345009891404752,0.005511657984478552,0.0024355173313699158,0.000888727017874556,0.00045172267914320066,0.0035270963683744017,0.09555537957518755,0.012439504624742125,0.005641506029403887,3752,7247,100.99898361121146,3684,7115,100.32063950475325
50024R,tpm,50,0.0019854234503554496,0.44253899135152347,0.4417944669220327,0.0020193875413575444,0.0020193875413575444,0.0011038511724540965,0.000580744060796831,0.0016502784208408763,0.03256939646449492,0.008083971117247155,0.0040419877611434915,0.4163112890247853,0.419769264099061,0.15008554059917098,0.7937280128375768,0.6948796050814504,0.6542397772493287,0.41562172889632637,0.41836089436155854,0.14980296883624064,0.7886389428159334,0.6946428727596634,0.653717239083795,0.0006895601284589953,0.00032435094256832997,0.0018980076057354676,0.02857564928395981,0.008192429613444895,0.004053429312679944,0.0015681921792252559,0.0008389637424349463,0.0048781384940020135,0.10781711292882626,0.018424158700096494,0.009278130083524612,3752,7247,100.99898361121146,3665,7076,100.33597194716535
50024R,tpm,100,0.0031249928599927676,0.4426486417235637,0.4413544239917951,0.0031472945441326063,0.0031472945441326063,0.001841914998528037,0.001022426117549803,0.0025244661838105973,0.035170590476886324,0.01251570956644911,0.006715462658890084,0.41602775939198616,0.41876500981817794,0.15119101638324778,0.7924128568607873,0.701322860472422,0.6569178344686484,0.41481113036583467,0.4160727265101337,0.15074963914301004,0.7816198961555663,0.6980897860335807,0.6560723704132267,0.0012166290261515173,0.0006666308265867171,0.002902632729136168,0.029408712596857123,0.012682516585875788,0.006537591715084699,0.0028372708089067205,0.0016851634423366419,0.007366781319895221,0.08776028429752715,0.029808600449363662,0.015336662312280437,3752,7247,100.99898361121146,3647,7045,100.28193030719868
50024R,tpm,200,0.005321811132033897,0.44070584606011937,0.43832719913011275,0.005399883103754131,0.005399883103754131,0.0032720810050063604,0.0019103840348258818,0.00419704177030876,0.05701250881207649,0.020535303431237693,0.011255235098391912,0.4141089931560764,0.41456210396761284,0.15078257372397633,0.7924446650193779,0.6929362146505403,0.654915318011995,0.4118427657335974,0.4112282085037905,0.15005422290009293,0.7789897171634316,0.6919411550862159,0.6526001187232346,0.0022662274224789767,0.0013248743502539684,0.0049013213324381865,0.059831672595022645,0.02104124672034391,0.01109228057822925,0.0053463945638507595,0.0032808071448962835,0.012801451101958784,0.12629361537727976,0.05093346929647143,0.02745939581091923,3752,7247,100.99898361121146,3640,7028,100.23063336203018
50024R,tpm,400,0.009135730885510607,0.44218723117260994,0.43775158221274296,0.009189588155499561,0.009189588155499561,0.0059848534998336615,0.003774342107885943,0.006902398669882898,0.07742722904258571,0.03332963109074271,0.020009668891079815,0.41561760601944325,0.41729632829809904,0.15096871523188507,0.7924307899339018,0.6989640842728535,0.6561983858237868,0.41128965539935836,0.4113010024374676,0.14989085059214574,0.7637700523938376,0.6956596161268206,0.6521442607299948,0.004327950620084958,0.0028093778642346023,0.008106625308832527,0.07793818979954309,0.03413952250458251,0.020049617652731628,0.010564937692956205,0.006923327414574775,0.021985992335241594,0.18222296406000962,0.09125632348405122,0.04796578417993863,3752,7247,100.99898361121146,3641,7030,100.37998089640419
50024R,tpm,800,0.01587686537141487,0.44260189736980804,0.4339356785457674,0.016360000602069352,0.016360000602069352,0.01106568333776843,0.0076334669129579785,0.01138531977110291,0.10965411866214209,0.05507157561496441,0.03463747778324549,0.4164794192497486,0.41917644952619004,0.14980431534754324,0.7962774442211409,0.698379654730585,0.6552522759983652,0.40781657487299255,0.40811474514418544,0.14827614229482933,0.7392008956467564,0.6920488803952852,0.648058975960878,0.00866284437675612,0.0061587160692394005,0.013878211232137028,0.11917650596387686,0.05672925331692967,0.0352640024944006,0.021561680707484435,0.014995616905167809,0.04013019024696526,0.3413680001805338,0.17086451030018532,0.08705070041403042,3752,7247,100.99898361121146,3632,7011,100.50801946517353
50024R,mc1,25,0.0009741726283826916,0.4350839353540322,0.43478319622214306,0.0010672183836172907,0.0010672183836172907,0.0005307454004881961,0.0002858029879445268,0.0008168975638050747,0.016073080496234734,0.003962255717990791,0.001842193183129081,0.4097814335758847,0.4111051147121534,0.14620946446671804,0.7419023290220145,0.6917331465934196,0.6239645879274234,0.40953924876029735,0.4109543730234757,0.14599325820733597,0.7328137516997179,0.6891956501574437,0.6233115252052482,0.00024218481558736782,5.8239559221684445e-05,0.0010393755786190166,0.01804097124364823,0.004231809281634883,0.0017794235554031142,0.0005347819684082117,0.00014884083676769454,0.0030061114366822825,0.05133576019460169,0.012777116856906872,0.004341144662012441,3653,7047,98.99446985444474,3610,6964,98.45474615998349
50024R,mc1,50,0.0014253578320369935,0.43635699466164285,0.43582677388150154,0.001566344874478406,0.001566344874478406,0.0008036180747762302,0.00045363773374937713,0.001177218305685969,0.025075616999785985,0.005337026514419,0.0027598696811161625,0.41080843384423676,0.41587231635290695,0.1471185150570328,0.741764771307228,0.6940627160233716,0.6276077217708853,0.41038519094384973,0.4158987268078857,0.1467275430378957,0.73620232415658,0.6905053130657416,0.6262171013728061,0.00042324290038705213,0.00012744325604011064,0.001508078815273502,0.024654578642915648,0.006095134805948834,0.002862387717899278,0.0009325049276674198,0.0003057715371739242,0.0043652196903994495,0.05858661725369239,0.021033119136251905,0.0067256532514939574,3653,7047,98.99446985444474,3599,6939,98.54218116742146
50024R,mc1,100,0.0023948379490109817,0.432943942125631,0.43207294437693616,0.002372210823444995,0.002372210823444995,0.0013761118528131415,0.0008047379072942989,0.001959991063900626,0.03371275072719982,0.008803206622222958,0.00469809024380871,0.4076436131869998,0.4052752365181257,0.14583258089716886,0.7457014007568206,0.6871372675414736,0.6188292987641866,0.4069552762427502,0.40548715516640865,0.1451703564807288,0.7327323185946054,0.6816440936082223,0.6170109217689119,0.0006883369442497408,0.00022153792662027438,0.0022701489911568606,0.037263823025462495,0.008755850492776633,0.004631849331571694,0.0014846174478328953,0.0005585292607031712,0.00691479349507013,0.09185427474826442,0.03109273737742729,0.010957480835261097,3653,7047,98.99446985444474,3563,6868,98.53144175391618
