sub,bone,fel,b2b_rmsd,f2b_rmsd,f2f_rmsd,f2f_d_mean,f2f_d_median,f2f_d_std,f2f_d_max,f2f_d_99,f2f_d_95,b2b_d_mean,b2b_d_median,b2b_d_std,b2b_d_max,b2b_d_99,b2b_d_95,f2b_d_mean,f2b_d_median,f2b_d_std,f2b_d_max,f2b_d_99,f2b_d_95,field_points,field_cells,field_A,smooth_points,smooth_cells,smooth_A,smooth_V,remesh_points,remesh_cells,remesh_A,remesh_V
14613R,mc1,0.106,0.0006946582235633623,0.411967936193348,,,,,,,,0.0003533895387994933,0.00018331577599553525,0.0005980517380890115,0.0147279240261981,0.003056896578409939,0.0013024178143948946,0.38801931612332935,0.3815540069796449,0.13841456125202373,0.862465419508197,0.7771522007036847,0.6512482151851428,20384,40170,165.66386519577907,19266,38528,2685.087777885872,7685.599072577767,50318,100632,2680.676202806959,7679.765310083573
14685R,tpm,0.6,0.007530707963997373,0.4477452851308853,0.021145391218169524,0.007595377010186331,0.003986712224496583,0.01973417892496604,0.39397930777637397,0.10494994993505986,0.017326036004485356,0.004919198118573391,0.0030765182725679854,0.00570202177383053,0.07028696226340612,0.028059715534592813,0.016390424065675976,0.4235514986850718,0.44301780092799337,0.1451894221993029,0.7061762969797809,0.6702256189941889,0.6484411203846504,466,843,106.58478830608644,10502,21000,938.1668081925768,2001.3567679078603,3685,7366,933.8594558106734,1996.9896727149132
14685R,tpm,0.424,0.00374531727800937,0.4457622074717622,0.012942526347441143,0.003921199801175703,0.0017559036634932396,0.01233422800070875,0.2848821621709543,0.049164392765824655,0.009512362998009526,0.0022763129068562324,0.0012353509779431595,0.002974189143789488,0.03468806885720695,0.014548471564590652,0.008132667548727813,0.4212176893760619,0.4427112867305568,0.1458753021137906,0.7143572531642286,0.6730688750174955,0.6505884595757975,973,1816,106.79533158074548,10502,21000,938.1668081925768,2001.3567679078603,5221,10438,934.3888825408828,1998.0333383610073
14685R,tpm,0.3,0.0019409097481214023,0.44537364768424054,0.0072038201004555385,0.0021681806910002414,0.0009835959174423919,0.006869790137325955,0.21884810194080298,0.01919555678940283,0.006218881105728805,0.0011709845386177605,0.0006477816022636134,0.0015478778571550262,0.021947543597626254,0.007442078734933996,0.0040826382924384,0.4205454032055203,0.4411059921604492,0.1466262251245402,0.7200920412241584,0.6736038493818131,0.6485298532856937,1748,3323,107.17872989717056,10502,21000,938.1668081925768,2001.3567679078603,7400,14796,934.7382287068958,1998.502263199047
14685R,tpm,0.212,0.0012888615254043967,0.4462431534746277,0.003925426246698877,0.0011315964923482647,0.0004978970153716709,0.0037587844573448922,0.13289493760508578,0.010419881202818214,0.0031587296018519046,0.0007401047282404591,0.00036720273013285106,0.0010551819856801314,0.015074483087519103,0.00517441701666105,0.0027044229902782255,0.42117951985045127,0.443049538520609,0.1474474960164581,0.7179692638143512,0.6744112786574635,0.6493837914876324,3762,7271,107.67673378806367,10502,21000,938.1668081925768,2001.3567679078603,12397,24790,934.834330370776,1998.6848476913246
14685R,tpm,0.15,0.0007419445575669175,0.4441936218278242,0.0032697557948623396,0.0008070598305566776,0.0003192661377385312,0.0031685891794200264,0.10793323107900585,0.007304410467591672,0.0022528907909299587,0.00039324863439139517,0.0001565063797746406,0.0006291559727543495,0.009245378088833868,0.0031180866198311573,0.001593210675830061,0.4191645254870772,0.4396118073617472,0.14700025253622354,0.7216497391712398,0.674998434574011,0.6482115819421772,6836,13329,107.99719941357658,10502,21000,938.1668081925768,2001.3567679078603,19877,39750,934.9397835953891,1998.792310331262
14685R,tpm,0.106,0.0004833934801579324,0.4464948334704997,,,,,,,,0.00022663549505348723,5.695037119198752e-05,0.0004269726092398178,0.007774451721736595,0.002136827578753485,0.0009855760500466647,0.4214347715895894,0.4408275789826628,0.14748006513112158,0.7283710768043389,0.6760120483629708,0.6502119946039598,15020,29532,108.75398084555357,10502,21000,938.1668081925768,2001.3567679078603,38218,76432,934.9873391815286,1998.84751036291
14685R,mc1,0.6,0.008908906301919766,0.43048449577313236,0.025614192877221456,0.007069938939546205,0.0032404591891138663,0.024619155959183302,0.48140700788191476,0.1279787493568668,0.012555071580500236,0.005844888075975499,0.003507502719774534,0.006723532916235716,0.06357087565575267,0.03172724315308535,0.019717617676663985,0.4067879695689578,0.4086453382931148,0.14085612842547068,0.8204273879341492,0.7474932154917584,0.6261978196019479,459,828,100.94191092970834,22432,44860,2028.1356837816131,5324.484983899144,7966,15928,2023.748496098759,5317.078296140301
14685R,mc1,0.424,0.0046425961124873525,0.4305072686430099,0.012266803241415384,0.0034200887819052957,0.0015302917884106246,0.011780384309838306,0.28185300958806764,0.051258716217719505,0.007553071532622552,0.0029415221535685427,0.0016737573125518922,0.0035918165437210403,0.044403867435381196,0.01678188416082798,0.010241273543813692,0.40544040131340636,0.40482372365718705,0.1447570009957677,0.8195807807204412,0.7649547746869725,0.6370287590845921,927,1727,101.18712793411017,22432,44860,2028.1356837816131,5324.484983899144,9328,18652,2024.315234088058,5318.1401700072265
14685R,mc1,0.3,0.002614329583326467,0.43056493241298993,0.008933113150985146,0.002101422712774013,0.0008335594305050834,0.008682426685584006,0.19655512443423956,0.031366626354045565,0.004465569727688794,0.001521168414116568,0.0007605753804500047,0.0021262092620788816,0.02688104754085899,0.010466683849251436,0.005759811763905039,0.40562949080217003,0.4091492016314156,0.14439832829840826,0.8133300056300725,0.764433170867481,0.6344886804328463,1652,3133,101.28734677227091,22432,44860,2028.1356837816131,5324.484983899144,11385,22766,2024.6515482018942,5318.6164614061645
14685R,mc1,0.212,0.001621972376775459,0.4323471613507653,0.004548018427341417,0.00105827462074738,0.0004431560021791115,0.004423180579912952,0.1374335323791953,0.007971320741047406,0.0025989776276580164,0.0009195994749705488,0.00044573551118557906,0.0013360880198012867,0.019733448775227105,0.006450463294980484,0.003453596482105109,0.4067104205284768,0.4101707106352296,0.14666527115037906,0.8188444285984289,0.7699891546278278,0.643412082481064,3558,6862,102.7917086364061,22432,44860,2028.1356837816131,5324.484983899144,15968,31932,2024.8114883772362,5318.821682253221
14685R,mc1,0.15,0.0010486109563164923,0.43143206882354757,0.003533487476178742,0.0007147743806505993,0.0002873444974072577,0.003460438025608545,0.1474883149795499,0.004841722534874562,0.0017811807849344044,0.0005287016598245055,0.00019944224186528638,0.000905571362514187,0.015415394766102737,0.0044424835286137965,0.002151366074175787,0.4056028758979014,0.4051260276082255,0.14703719622162922,0.8280740241819174,0.7741428853993045,0.643603618045286,6547,12763,102.82669815673255,22432,44860,2028.1356837816131,5324.484983899144,23202,46400,2024.9128800850533,5318.924218654589
14685R,mc1,0.106,0.0006085468894166204,0.43149545516018817,,,,,,,,0.00029329328531400297,8.22188384180242e-05,0.0005332057439754032,0.008195621348790136,0.0026338626421035355,0.001296098883721958,0.40588341790637456,0.4044306714815969,0.1464478709047601,0.8262610408190233,0.770557498203815,0.6406551533650422,13999,27502,103.26259128594963,22432,44860,2028.1356837816131,5324.484983899144,39725,79446,2024.9993744887634,5318.996452083836
14726R,tpm,0.6,0.010719507366296661,0.3749228666421133,0.025655232165673163,0.007749637021677279,0.0034850041381503357,0.02445677949990227,0.8148873055310621,0.1040952510661937,0.019312953823453365,0.006355976339086733,0.003314477001842844,0.008631882932075596,0.09777778145527467,0.04265906555338677,0.023635864142495,0.35652616347828636,0.34600864191282965,0.11600108054063164,0.773334196411426,0.6452174756597974,0.5684656556901047,835,1541,186.26848728259176,9930,19856,1358.9305172740337,3487.7428176385233,5422,10840,1353.8063087508149,3482.8922449835636
14726R,tpm,0.424,0.004468348472594562,0.37780369991315593,0.011631112367069362,0.00373310824626791,0.0017400762878576714,0.011015746807050369,0.29204084971339644,0.03617332679583554,0.010323807348749103,0.0024636625214669514,0.0011283675696902636,0.0037278016380780325,0.07607032540935597,0.017469876045399048,0.009500587081734891,0.3579213367390359,0.34715558605537894,0.12094607217686584,0.7859183589395251,0.661696049492405,0.5810960194658992,1528,2891,189.4872437823638,9930,19856,1358.9305172740337,3487.7428176385233,7166,14328,1354.9447263958566,3484.144563024264
14726R,tpm,0.3,0.0029818321773677796,0.37678786158141,0.0064115190523134245,0.0020891795899195473,0.0009805406352560524,0.006061592628941805,0.1514924769263542,0.019850248360945618,0.005872903542018296,0.0017163870774190321,0.0008278211661677888,0.0024383064890318496,0.02912834095146777,0.012245646870094601,0.006565692809106443,0.3571311185554342,0.3470364694912289,0.12011018605612145,0.7934454172196564,0.6605321011365691,0.5739766681221321,3231,6219,189.59889651695187,9930,19856,1358.9305172740337,3487.7428176385233,10748,21492,1355.2337330113437,3484.4926284331195
14726R,tpm,0.212,0.0017599623537601988,0.37699260380727606,0.004616490395238049,0.0012414704520621385,0.0004973976012276043,0.004446429431125809,0.1424843557021751,0.011778802300135512,0.0036288520298245483,0.0008793367338609923,0.0003481309437283873,0.001524543995801965,0.02732005990966361,0.007493490474102563,0.003532436838124949,0.357414558833506,0.3476169285119397,0.1199093676876002,0.7914585247450575,0.6551412357597887,0.5766709110289486,5910,11497,190.60788434440633,9930,19856,1358.9305172740337,3487.7428176385233,16762,33520,1355.480888201225,3484.6956232664234
