sub,bone,iters,rmsd,d_mean,d_median,d_std,d_max,d_99,d_95,smooth_points,smooth_cells,smooth_A,smooth_V,remesh_points,remesh_cells,remesh_A,remesh_V
50018L,tpm,10,0.0014948253962167842,0.0007953925209511325,0.00034366396101157416,0.0012656435923235532,0.017922871726999058,0.00614184365948985,0.003127204169130799,10618,21232,971.3396963203003,2180.4023559981447,13902,27800,967.6986561566314,2177.663828299113
50018L,tpm,20,0.0015640697622896266,0.0008501536591212648,0.0003774820629021527,0.0013128415659139732,0.016072635266478976,0.006612706402898731,0.0032947244767158163,10618,21232,971.3396963203003,2180.4023559981447,13880,27756,967.595564195072,2177.5676081786055
50018L,tpm,40,0.001663182382530544,0.0009246779718954606,0.00043729482036469693,0.001382442145571117,0.01838205450010301,0.00690431311342432,0.003509437617953839,10618,21232,971.3396963203003,2180.4023559981447,13858,27712,967.5017154577829,2177.4549806425907
50018L,tpm,80,0.001797933152837557,0.0010006834972289451,0.00047483035718248626,0.0014937189027544795,0.018953019697089478,0.007276206768360625,0.0038273951896232008,10618,21232,971.3396963203003,2180.4023559981447,13856,27708,967.510847972324,2177.5533907620984
50018L,mc1,1,0.0012537591570240198,0.0005739559272648169,0.0001970402528112692,0.0011146688375383805,0.03459280457337992,0.00513690000811007,0.0023907494163278066,21642,43280,2064.678615072312,5053.749076306396,18397,36790,2060.740453529104,5048.100031455694
50018L,mc1,5,0.0014304967772952432,0.0006978111655753575,0.00026696188608530227,0.0012487516194385644,0.030326635505115045,0.006111580712056748,0.002881188928437903,21642,43280,2064.678615072312,5053.749076306396,17871,35738,2060.5147114324227,5047.89616407211
50018L,mc1,10,0.0015629750945879148,0.0007619361014424343,0.00030590764383433357,0.0013646774430688031,0.04137722780787836,0.006526018111980636,0.0030486958997832745,21642,43280,2064.678615072312,5053.749076306396,17835,35666,2060.442176858429,5047.839794232643
50018L,mc1,20,0.0016351472856914384,0.0008300742091450068,0.00034446451140303727,0.0014087879376316259,0.03766110532964209,0.00679615279589898,0.0033385407606557377,21642,43280,2064.678615072312,5053.749076306396,17815,35626,2060.337854006125,5047.730283490317
50018L,mc1,40,0.0017698648968926547,0.0009089958086970164,0.00037615995616946873,0.0015186007944894878,0.03760326704698909,0.007445083449393029,0.0036819030976687375,21642,43280,2064.678615072312,5053.749076306396,17809,35614,2060.2425125424656,5047.64266919574
50018L,mc1,80,0.0018974700199206496,0.0009923754889049896,0.0004182880309053812,0.0016172765272266377,0.02771358130230163,0.0081431931903099,0.0039633423173091546,21642,43280,2064.678615072312,5053.749076306396,17797,35590,2060.209952529303,5047.62141074514
50037L,tpm,1,0.0014057209942773552,0.0006870556122513015,0.0002744563562761495,0.0012263792641047488,0.027746402716305844,0.005877808070984514,0.0027146880735203485,13134,26264,1210.595994069634,2909.1249894995462,17309,34614,1206.650505611465,2906.231389801124
50037L,tpm,5,0.0015414493559770222,0.000789533189764545,0.00033171909652696834,0.0013238970727749947,0.0283033848595528,0.006455364712785978,0.0030647665850863167,13134,26264,1210.595994069634,2909.1249894995462,16903,33802,1206.3206202839933,2906.080917396669
50037L,tpm,10,0.0016297138127623432,0.0008550174633544969,0.00036532697253174895,0.0013874120688775976,0.02378481698998622,0.0069317393037223625,0.003319758017938648,13134,26264,1210.595994069634,2909.1249894995462,16874,33744,1206.2193360603956,2906.017645231874
50037L,tpm,20,0.0016943585161112206,0.0009023322721130676,0.00040440420353375097,0.0014341015486435704,0.021944676464826982,0.0069684996270508465,0.0034359356850750013,13134,26264,1210.595994069634,2909.1249894995462,16855,33706,1206.0942969742982,2905.916872077837
50037L,tpm,40,0.0017842210410878691,0.0009615953670976477,0.000429132091708379,0.001502923508844352,0.022157503219109677,0.0074079384884716834,0.0037040248529194085,13134,26264,1210.595994069634,2909.1249894995462,16845,33686,1206.0056489547496,2905.8385364406668
50037L,tpm,80,0.0018680056215309316,0.0010187269536131188,0.0004757500399537834,0.0015657715018652294,0.021934769083346684,0.007744798730762639,0.0038155680446938334,13134,26264,1210.595994069634,2909.1249894995462,16845,33686,1206.0514122693683,2905.985807101368
50037L,mc1,1,0.001186132027848182,0.0005650433843966904,0.00023397846914472047,0.0010428974835700652,0.03347909917906596,0.004987060143943068,0.0021946516514362567,25836,51668,2351.721364105333,6413.158601908744,20279,40554,2346.764221744351,6406.664961966494
50037L,mc1,5,0.0013127365549053618,0.0006508924962445274,0.0002784068092292896,0.0011400071144152416,0.027942780915917998,0.005767182990434832,0.002483124856215468,25836,51668,2351.721364105333,6413.158601908744,19706,39408,2346.4862026975115,6406.708790286419
50037L,mc1,10,0.0013727337814761144,0.0006890237641546005,0.00029589395784845537,0.0011872844171620961,0.027635359819086436,0.005924647953338413,0.002605112822354769,25836,51668,2351.721364105333,6413.158601908744,19681,39358,2346.3650697805756,6406.622574215883
50037L,mc1,20,0.00142321038557868,0.0007382003322025486,0.00032381766332057886,0.001216794177811129,0.018239759752709278,0.00626066714219075,0.002861956033411456,25836,51668,2351.721364105333,6413.158601908744,19661,39318,2346.221662492887,6406.51590129757
50037L,mc1,40,0.001508751402342237,0.0007920833817739734,0.0003501413172996242,0.0012841085274956992,0.018989734443306698,0.0066270203473429695,0.003079928135462894,25836,51668,2351.721364105333,6413.158601908744,19648,39292,2346.0935561530027,6406.425876629785
50037L,mc1,80,0.0017221605226630267,0.0008832080176003053,0.0003789995709209753,0.0014784385220446361,0.023034035352721,0.007703493921084102,0.0034748935221906316,25836,51668,2351.721364105333,6413.158601908744,19635,39266,2346.088064389987,6406.41533463564
14727R,tpm,1,0.0014200848140788437,0.0007029829950676965,0.00026832638482089297,0.0012338783521170127,0.03034334855433503,0.00603802910182667,0.0028276079143434167,5552,11100,1050.0394388020022,2307.895188795052,15705,31406,1047.6493121569035,2306.2189267675967
14727R,tpm,5,0.00172288341668297,0.0008678961403367073,0.00033361231676612185,0.0014883156778955973,0.024719545833483316,0.007460638303355323,0.003405278068683497,5552,11100,1050.0394388020022,2307.895188795052,15406,30808,1047.2137061935277,2305.833098450574
14727R,tpm,10,0.0018488554048199002,0.0009363717288185483,0.0003668100569970922,0.0015942002049307107,0.024056745005215107,0.00816974072533342,0.003685358397950033,5552,11100,1050.0394388020022,2307.895188795052,15389,30774,1046.9790834453147,2305.587278553878
14727R,tpm,20,0.001981718911415737,0.0010149595870212018,0.00040138674051254245,0.0017020772252093984,0.024835226701180525,0.008516494814247162,0.003975564160245444,5552,11100,1050.0394388020022,2307.895188795052,15376,30748,1046.7119829018927,2305.3457813315085
14727R,tpm,40,0.0020888485501086,0.0010864116129274623,0.00044049413600136424,0.0017840958697859122,0.027542601794033356,0.008985672399058484,0.004218946173417756,5552,11100,1050.0394388020022,2307.895188795052,15360,30716,1046.4808166566593,2305.1386390899866
14727R,tpm,80,0.0022393645834247688,0.0011675165853602784,0.00048124172694478885,0.0019109313855829218,0.03062578961540406,0.009430398598056718,0.004577555278958217,5552,11100,1050.0394388020022,2307.895188795052,15375,30746,1046.3462093726598,2305.11406449561
14727R,mc1,1,0.0012377135539998307,0.000614062558835634,0.00024126656490373438,0.001074645064935919,0.020752924336561254,0.005179821744812866,0.002453450000487503,12678,25352,2464.8581183797514,6848.347403136119,20466,40928,2461.9469357668527,6844.801556986781
14727R,mc1,5,0.001472894769634152,0.0007434401306129989,0.00029987749789829723,0.0012715013860038725,0.022939785436937053,0.0062271318410588045,0.0028508603117124573,12678,25352,2464.8581183797514,6848.347403136119,20025,40046,2461.3234615426745,6843.964168632018
14727R,mc1,10,0.0015426247728440653,0.0008027912739851844,0.00032974046819598624,0.001317276493453614,0.021303487253379945,0.006622595986648468,0.003079916345515629,12678,25352,2464.8581183797514,6848.347403136119,19987,39970,2461.0466590298183,6843.508216316488
14727R,mc1,20,0.0016457526013765066,0.0008690947049494735,0.0003600128607921919,0.0013975607388469118,0.020137550793957664,0.006919692399227179,0.003360999612507414,12678,25352,2464.8581183797514,6848.347403136119,19966,39928,2460.7435864712475,6842.989439041045
14727R,mc1,40,0.0017360864171762685,0.0009282528187122951,0.00039318067884947053,0.0014670864843139317,0.024486855140457505,0.007268322508627348,0.0035637313059055198,12678,25352,2464.8581183797514,6848.347403136119,19945,39886,2460.494216914278,6842.585561094442
14727R,mc1,80,0.0018108241701567916,0.000980282076966407,0.0004195684490197854,0.0015225410420748797,0.018315211571957667,0.007632122117560487,0.0037321319090296945,12678,25352,2464.8581183797514,6848.347403136119,19934,39864,2460.328620920285,6842.3610680443935
14613R,tpm,1,0.0012351173014019468,0.000634418633656198,0.0002775061126524274,0.0010597300342503415,0.01949702841282453,0.00526650468827605,0.0024945447980677226,9274,18544,1263.1316374840683,3168.61251314545,16930,33856,1259.7635710056065,3166.0215220813416
14613R,tpm,5,0.001498289625342037,0.0007654058389896963,0.00031919189749409166,0.0012880317166312563,0.027135305361739217,0.006332250096107885,0.0030575249267525265,9274,18544,1263.1316374840683,3168.61251314545,16593,33182,1259.4704108969177,3165.892349916565
14613R,tpm,10,0.001589235013262095,0.0008386296371904365,0.00034522807887805247,0.0013499512061567291,0.01971859898333386,0.0067074749450782315,0.003371530370749173,9274,18544,1263.1316374840683,3168.61251314545,16563,33122,1259.3606916905505,3165.806990444954
14613R,tpm,20,0.0017053416049931567,0.0009187341551248642,0.00038171420037728,0.0014367037070765975,0.023619783964169114,0.007094374383734365,0.0037035106704400205,9274,18544,1263.1316374840683,3168.61251314545,16546,33088,1259.2192192200637,3165.6895997764236
14613R,tpm,40,0.0018429347584720287,0.001001206515518391,0.00041715986750714263,0.0015472537081124985,0.02829751699248293,0.007548550292687557,0.004021819385809766,9274,18544,1263.1316374840683,3168.61251314545,16545,33086,1259.0753848124325,3165.5573379719053
14613R,tpm,80,0.0019825161105522927,0.0010782948476416017,0.0004535487487887775,0.0016636256640689831,0.024704740849608588,0.008196293998745892,0.004357392781862687,9274,18544,1263.1316374840683,3168.61251314545,16550,33096,1259.0015745463343,3165.466859216492
14613R,mc1,1,0.001379164654566603,0.0006972658511258938,0.0002920715488977585,0.001189922466910975,0.025112162009642953,0.005845265216405871,0.002808044100890909,19266,38528,2685.087777885872,7685.599072577767,22273,44542,2680.889828798997,7679.9835039183
14613R,mc1,5,0.0016091363520376698,0.000832093606370135,0.0003431701843122363,0.0013772944600509516,0.020591430328301824,0.0068812834992376904,0.003330556043913989,19266,38528,2685.087777885872,7685.599072577767,21665,43326,2680.476563814003,7679.624327371944
14613R,mc1,10,0.0017378901605789876,0.0008943724261236899,0.0003719569313707263,0.0014900873040284866,0.027127124141892524,0.007612888005154512,0.0035996834907303225,19266,38528,2685.087777885872,7685.599072577767,21619,43234,2680.299247451915,7679.40843024056
14613R,mc1,20,0.0018970273350656073,0.0009799038700729447,0.0004009744391712486,0.0016243463655889977,0.023705553278926903,0.008271828205663101,0.003913259847731349,19266,38528,2685.087777885872,7685.599072577767,21600,43196,2680.1103523537454,7679.166131075028
14613R,mc1,40,0.0020031499101374048,0.0010520464356806038,0.0004351748231574032,0.0017046430299787786,0.03086993321659738,0.008384768692732024,0.0040777845133229,19266,38528,2685.087777885872,7685.599072577767,21596,43188,2679.9576252437346,7678.980016583173
14613R,mc1,80,0.0021263788369931358,0.0011376680949976422,0.0004849534254217151,0.001796440442663412,0.02636583213587309,0.009122974513161049,0.004455743752581082,19266,38528,2685.087777885872,7685.599072577767,21590,43176,2679.8565359234703,7678.852305181712
50014R,tpm,1,0.0010118573596152249,0.0005534456347975153,0.00024854579508832295,0.0008470851465650131,0.012576404229588074,0.004235153438770288,0.0021650616100038758,9798,19592,899.9971762688226,1850.8064613857703,13473,26942,897.0281749200249,1848.318548924093
50014R,tpm,5,0.001200952629933186,0.0006694328082129214,0.00030441868727308066,0.000997069172440708,0.013417197931991082,0.005060771440238365,0.002577254515607148,9798,19592,899.9971762688226,1850.8064613857703,13115,26226,896.7722977178569,1848.242045110707
50014R,tpm,10,0.0012941830489116477,0.0007277177680794622,0.0003363487314760541,0.001070204005837996,0.01385885129126688,0.005393661972664768,0.00279363373814705,9798,19592,899.9971762688226,1850.8064613857703,13070,26136,896.6835201015953,1848.1961231655882
50014R,tpm,20,0.0013765274291768319,0.0007917548821182126,0.0003745408105048295,0.0011260337339165968,0.016887916292527103,0.005599361988331083,0.002981563121588079,9798,19592,899.9971762688226,1850.8064613857703,13043,26082,896.6188957094913,1848.1388948981062
50014R,tpm,40,0.0014789876967412643,0.0008566457763396645,0.00041502310259732846,0.0012056378481913397,0.013752865124257736,0.0060750534452122815,0.0032026915965699472,9798,19592,899.9971762688226,1850.8064613857703,13028,26052,896.6019818944916,1848.080205606653
50014R,tpm,80,0.001587837563338305,0.0009274656131709449,0.00046061161928914165,0.0012888117255571384,0.015816648063150886,0.006372433100501083,0.003449422316550685,9798,19592,899.9971762688226,1850.8064613857703,13026,26048,896.5390483871029,1848.1401975974711
50014R,mc1,1,0.0011331940987379528,0.0005837016236696239,0.00024869896611105595,0.0009712987593629295,0.017977379422788185,0.0048432781795469115,0.0022951133024001267,20912,41820,1952.9801531089704,4874.86531761295,17055,34106,1950.094287953037,4869.377801465991
50014R,mc1,5,0.0013137390689675176,0.0006956829296104792,0.0003004336748520561,0.0011144216449711578,0.017068881857809633,0.00564325774776761,0.002723584343587365,20912,41820,1952.9801531089704,4874.86531761295,16548,33092,1949.9093913639094,4869.287398077931
50014R,mc1,10,0.0013978738180719767,0.0007499785500588711,0.00032718117088427554,0.00117965392624393,0.018474290014178874,0.005954296201976076,0.002935101904106125,20912,41820,1952.9801531089704,4874.86531761295,16514,33024,1949.8324084853796,4869.19317822747
