sub,bone,iters,L_edge_mean,L_edge_median,L_edge_std,L_edge_max,L_edge_99,L_edge_95
15294R,mc1,80,0.18942273043153693,0.18969509745904417,0.020205677872888066,0.2652082389368779,0.23818296521984186,0.22228060530500882
50021R,tpm,1,0.1791906096605104,0.17685110969353096,0.025978591851362896,0.2819771976596684,0.2435618182308647,0.22438094058180974
50021R,tpm,5,0.1804992684974455,0.17898106045054837,0.020739064172458258,0.2632584661506494,0.2310109925291383,0.2165770117052284
50021R,tpm,10,0.1806583802935791,0.17932347865724646,0.019828040310556273,0.26585691640429837,0.22962454699434326,0.2151746813595214
50021R,tpm,20,0.1807279279136402,0.17960726599924046,0.01926184921394201,0.26506138911580157,0.22879374266257657,0.2140830341243824
50021R,tpm,40,0.18084583148555178,0.1798502293574135,0.018904381576625613,0.264028559061315,0.22828918022192363,0.21337582571582214
50021R,tpm,80,0.18139907510623032,0.18045140619502203,0.018766405474496744,0.26335770351368254,0.22855858637310775,0.21364817103346648
50021R,mc1,1,0.18133351828884595,0.17947328492007722,0.02721391398482136,0.28869542774349827,0.24912391506982692,0.22924760403731
50021R,mc1,5,0.18231128449907574,0.18071560530288036,0.021178647237008866,0.26197093350217115,0.23431044621235295,0.21999367027929217
50021R,mc1,10,0.18222771302291232,0.18088548863851875,0.02035625724026368,0.26539868123258775,0.23276969604905015,0.2182841863257333
50021R,mc1,20,0.1821497666640228,0.18101574517148455,0.01994106462290398,0.26401564347590256,0.2320453652538583,0.21702310015039172
50021R,mc1,40,0.18220156517783326,0.18124015833814974,0.01970221744108817,0.26415431096236724,0.23176611072877168,0.2165539078335576
50021R,mc1,80,0.1827333762993046,0.18188598076816717,0.01950721737628557,0.2665496013878186,0.23257187607095742,0.2166215686314451
50027L,tpm,1,0.17874313165258693,0.1767514497763392,0.025956532193466986,0.2845589745553635,0.24428167265846792,0.22513213564345402
50027L,tpm,5,0.1799614876051989,0.17877933325751266,0.020833956298576446,0.25776999437481596,0.23099295657542135,0.21669853705835235
50027L,tpm,10,0.18015145098302893,0.17903547134505815,0.019944908853562936,0.25741810348146604,0.2295918226590276,0.21539740709242078
50027L,tpm,20,0.18039651668683246,0.17923799820099645,0.01931020870859774,0.2577263083194933,0.22852329121900783,0.21442843651683846
50027L,tpm,40,0.18060543926918995,0.17958048334502724,0.01902277732014028,0.2562130363584146,0.2281949467530351,0.2139095976394357
50027L,tpm,80,0.1812272220980647,0.1802400621393669,0.018895363721410065,0.25595675415976227,0.22804531115995072,0.21420133052801243
50027L,mc1,1,0.17923920572311297,0.1765527541472198,0.026174277662721308,0.31227936211026763,0.24291587944006876,0.22490515000736552
50027L,mc1,5,0.18015396954052837,0.17857019612671732,0.021179994424814434,0.26353872580704,0.23104547704816983,0.21783115020299987
50027L,mc1,10,0.18021133619546503,0.17891615354685128,0.020270576815971126,0.26009023434184825,0.2303532252820717,0.21581305295070213
50027L,mc1,20,0.18019556724023997,0.17917893291344306,0.019733146598880796,0.25827216265018205,0.2292789547641741,0.21465555657035143
50027L,mc1,40,0.1803225713943676,0.17943335809788502,0.019410055260938006,0.257459705585176,0.22909283925927323,0.21425852954836938
50027L,mc1,80,0.18083185571164045,0.18012145902139612,0.019243351825101295,0.25843097724537467,0.22920805463288302,0.21438420417514423
50008L,tpm,1,0.17936752068299083,0.17759648082026444,0.026490284139893613,0.31133525338452467,0.24548497591618915,0.22626071680796842
50008L,tpm,5,0.18085328311357834,0.17972860092258214,0.020979276537299293,0.2581931641232979,0.23280020747874786,0.21773336875358643
50008L,tpm,10,0.1810992269511781,0.1799280271655351,0.020053338224078444,0.2556543565050249,0.23108892072523896,0.21624319637032344
50008L,tpm,20,0.18117804913095945,0.1802119307926052,0.019554817668228055,0.25625787792768295,0.23024019622593628,0.21558065775946036
50008L,tpm,40,0.18145475147841195,0.18064144042505115,0.019176846844603353,0.25806435243946024,0.2300613225729919,0.21481682877482416
50008L,tpm,80,0.18225122396029295,0.1814701352817374,0.019068315881378427,0.2610339058436574,0.23099128412485498,0.21507053142191243
50008L,mc1,1,0.18030462261077637,0.1783676540182866,0.025485724678105663,0.2836161666760229,0.24323251344726127,0.2249306837671597
50008L,mc1,5,0.1813200494561383,0.18003216379301626,0.02101311740598793,0.2634619896683343,0.2320386751165027,0.21829689643547295
50008L,mc1,10,0.18146690644576607,0.18037998780353,0.020215493858959467,0.26209666155828504,0.2307056199340742,0.2172033493906622
50008L,mc1,20,0.18158183912168738,0.18063346865960492,0.01970585566539985,0.26162647037331926,0.23014496541870264,0.2163634255494467
50008L,mc1,40,0.18189321139028933,0.18107001408295287,0.01926306786770595,0.25941707730988117,0.22921230140085672,0.21557522584876554
50008L,mc1,80,0.18254108556248996,0.1818496906788662,0.019022190663008233,0.25640072152784554,0.22948519567710002,0.21572248838708669
14548R,tpm,1,0.17771248369233802,0.17555433630700357,0.026442200444707346,0.287104789232091,0.2463685696113048,0.2248709039597696
14548R,tpm,5,0.179044947368733,0.17790254346249432,0.020767015980390362,0.25398415304897054,0.23068225714988405,0.21529310831341758
14548R,tpm,10,0.17922763451944362,0.17816716869278773,0.019772488568237708,0.2547994505488583,0.22851534345384192,0.21340646661931445
14548R,tpm,20,0.17939259634369242,0.17844688285313426,0.019070627708776267,0.25250746523617806,0.22772885883719443,0.21242579879732637
14548R,tpm,40,0.17956426573861362,0.17871212885530902,0.01865067896594258,0.2543181275489419,0.22668656975359358,0.21213792883478982
14548R,tpm,80,0.18027099265859017,0.1794125413676572,0.018376679884492146,0.25875364731728484,0.2269359860384905,0.21231600202914497
14548R,mc1,1,0.17855595823099496,0.17646509568570076,0.02792078052805318,0.2830346445225357,0.24805068957772908,0.22812709678984328
14548R,mc1,5,0.180393167216234,0.1790131419485771,0.02161576134413797,0.26204020683856244,0.2335290661227785,0.2181070045782331
14548R,mc1,10,0.1805308451186562,0.17938896286555586,0.02058976307684265,0.2618766312598344,0.23153774865151655,0.2163757518630045
14548R,mc1,20,0.18054331653977798,0.17959451550645264,0.020057757646907714,0.2647003022287615,0.23059127822868367,0.21543352559574808
14548R,mc1,40,0.1807268926091427,0.17976501328122788,0.019749786275593564,0.26512672441682594,0.2299877057459009,0.2150340737972312
14548R,mc1,80,0.18133515706160985,0.18028297201898782,0.019533024710186926,0.26470534562037057,0.2303122912850391,0.2151111524618211
14873R,tpm,1,0.1894732755249222,0.1901183841715515,0.02742897256011448,0.2806011404110797,0.2522206916093629,0.23411663756018455
14873R,tpm,5,0.18978278755337033,0.19003552299049414,0.021866563714821246,0.26333818560930505,0.23998874884970675,0.22601393761779262
14873R,tpm,10,0.18975430605120364,0.18997631431313278,0.02102283126758024,0.2612336119261793,0.23833453313607386,0.2245907389007892
14873R,tpm,20,0.18974113688143754,0.1899091888199928,0.020492481579949498,0.26253571185650637,0.23762182137125493,0.2237163382500259
