sub,bone,iters,rmsd,d_mean,d_95,d_max
16276L,mc1,4,0.0041399142260351,0.0022146449945230854,0.008458930290478176,0.06452624718415362
16276L,mc1,8,0.0038969520973086164,0.00210809032052532,0.007935010666254889,0.06057526357315783
16276L,mc1,16,0.0036013547252535818,0.0019679192707649337,0.007427074634482481,0.05545957814829131
16276L,mc1,32,0.003199327075799283,0.0017686329842957747,0.006664828803296154,0.04503147806734845
16276L,mc1,64,0.002537428540925234,0.0013815131385319446,0.005360948584286685,0.03851622445395057
50017L,tpm,1,0.005055837298016046,0.002291988834994609,0.009609138409442561,0.0898055512658028
50017L,tpm,2,0.004998742332282472,0.002254196695869773,0.009431387537577222,0.09724558347887877
50017L,tpm,4,0.004943468334650382,0.0022265282818755374,0.00914463213930164,0.0860864201018563
50017L,tpm,8,0.004951171035976214,0.0022172676733177386,0.00901954910374231,0.08670762742858154
50017L,tpm,16,0.004968456880483011,0.00223115529084368,0.009095275554319436,0.08368223557676754
50017L,tpm,32,0.004981021687811624,0.002254459741839215,0.00945250546491556,0.07900397908219955
50017L,tpm,64,0.0042558492858585035,0.001986265966773417,0.008601151936296729,0.057535144226419456
50017L,mc1,1,0.004420249279272837,0.002337604854420601,0.009284353943055944,0.07962900299644628
50017L,mc1,2,0.004150279092524144,0.0022121157222641805,0.008677912467501084,0.07032524766704637
50017L,mc1,4,0.0038760220705112377,0.0020966769408146207,0.008025129132089198,0.07087629550471168
50017L,mc1,8,0.0036092147475524842,0.001977592403482595,0.007458025278714022,0.0659232131830837
50017L,mc1,16,0.003316113930973527,0.0018368846753855528,0.0069117275225111605,0.0524394283271007
50017L,mc1,32,0.002963539724796487,0.0016646832677731018,0.0063461210760934195,0.04030854231726353
50017L,mc1,64,0.00248161215213869,0.0013371456396652176,0.005306231925247738,0.03159150466251276
15882R,tpm,1,0.0050238715212031024,0.0022032522800070568,0.009431193314173561,0.17214204615681652
15882R,tpm,2,0.004956567096521181,0.0021737521998658896,0.009335529454794555,0.16946585119650412
15882R,tpm,4,0.004841247812712925,0.0021419676408515704,0.008991656936290341,0.1466299134613589
15882R,tpm,8,0.004757238126386012,0.0021095724453767395,0.008870831818108115,0.13431962848739312
15882R,tpm,16,0.004699706927783054,0.0020901285119840234,0.008755153532147106,0.149893920881368
15882R,tpm,32,0.0046092361374280065,0.002073444191221707,0.008821521278894677,0.18751616687129954
15882R,tpm,64,0.0041418062355309156,0.0018290201274648867,0.007881529667730989,0.27383352879803674
15882R,mc1,1,0.004237404282322227,0.0021644778883382746,0.008840666960527922,0.06552394096604264
15882R,mc1,2,0.004046050895901495,0.0020716958324434394,0.008556163078847394,0.05920350817923736
15882R,mc1,4,0.0038421636783065546,0.0019791312483559793,0.008049780375668596,0.055203997925471114
15882R,mc1,8,0.003619521819165362,0.0018797009498365716,0.0075713960593823985,0.049522549232910745
15882R,mc1,16,0.003337467730538051,0.001767802523243223,0.00700035040011073,0.049163960919239795
15882R,mc1,32,0.0029433214176184876,0.001596703540834815,0.006317233597371303,0.036860242761022385
15882R,mc1,64,0.0022452738652537106,0.0012307740823613203,0.004901114227580699,0.030033508116784943
15441R,tpm,1,0.005022463083926032,0.002296418055228083,0.009656193579425211,0.07613879585914128
15441R,tpm,2,0.00505025385123293,0.002272791035827649,0.009545764994292869,0.13860108298225834
15441R,tpm,4,0.0049808019641264505,0.0022552518972313597,0.009380966891497197,0.1200273414248418
15441R,tpm,8,0.0049559536701857575,0.0022413354528141804,0.009298521961444262,0.09383642830050308
15441R,tpm,16,0.005001182389850437,0.0022427023532462847,0.00937999619553486,0.09511464821153527
15441R,tpm,32,0.005006721968185803,0.0022458767521220824,0.009650288580528852,0.09344187377525026
15441R,tpm,64,0.004301932137106869,0.0019577281049778044,0.00864437163457491,0.076702674560018
15441R,mc1,1,0.004747848796544814,0.0024611022769619574,0.010007581233047567,0.07294115574658722
15441R,mc1,2,0.004529245563732679,0.0023557288837622297,0.009589663495719023,0.06463731277518708
15441R,mc1,4,0.0042593119750053265,0.002246332252555462,0.00905203603339861,0.06088893916240732
15441R,mc1,8,0.003987369792764132,0.0021389524873743136,0.008570937465833341,0.05217523115558706
15441R,mc1,16,0.0036251702275938193,0.0020008846346645194,0.007874355208379483,0.04687575229608337
15441R,mc1,32,0.003224422468587254,0.0018171367056422675,0.007113216991720858,0.04236031397282941
15441R,mc1,64,0.0026409050272625622,0.0014389943473426597,0.0057393904694175435,0.031995945169158206
50090R,tpm,1,0.005254831257088011,0.0025120327929638022,0.010427040235614726,0.09315061589505526
50090R,tpm,2,0.0051203220131813935,0.0024599321415772228,0.010220444310914798,0.07788157969833549
50090R,tpm,4,0.0049856599122744035,0.0024135312717008346,0.00995704253381557,0.08087442396820312
50090R,tpm,8,0.0048569416710360054,0.0023709839842170153,0.009675419283415658,0.08679966915127744
50090R,tpm,16,0.004709838279689832,0.002331170558165485,0.009447211657443312,0.07919590992135678
50090R,tpm,32,0.004505660164917795,0.0022795864863927066,0.009201162119918073,0.06565234471272455
50090R,tpm,64,0.0039020652430171634,0.00199856963905744,0.008143432637771425,0.06014088286100144
50090R,mc1,1,0.00592070814074888,0.0026987003428225447,0.010509727115045669,0.2723010988251182
50090R,mc1,2,0.005504354020598142,0.0025151106307499792,0.009716527877316708,0.28448814060509964
50090R,mc1,4,0.004991895952401239,0.0023647759975118027,0.00899375017222505,0.1442259232062128
50090R,mc1,8,0.004668372363947582,0.002228748940087045,0.00840789973460531,0.13353973080034875
50090R,mc1,16,0.004292046025339692,0.002077191068356497,0.007763771772698955,0.10865003162557997
50090R,mc1,32,0.0037808194526916888,0.0018807754595141454,0.007067069516597534,0.08112613857859559
50090R,mc1,64,0.0028623392549877165,0.0014646347266896818,0.005642922214741496,0.048008415751219585
14827L,tpm,1,0.00439088463866859,0.002079151380664955,0.00872417901377292,0.060385610812689526
14827L,tpm,2,0.004299341160282462,0.002051308343886043,0.00867788323963908,0.05096957886318268
14827L,tpm,4,0.004222791211363313,0.002044762014503832,0.008586172479543899,0.053687100052918206
14827L,tpm,8,0.004131197036693057,0.002029384887732754,0.00851346026228728,0.05385834656084793
14827L,tpm,16,0.004039458658299704,0.0020156589550649933,0.00842316231989522,0.049320329400129266
14827L,tpm,32,0.003903119789899155,0.0019916815342977596,0.008487495706172566,0.045502848292925925
14827L,tpm,64,0.0033463893083685503,0.0017376692824413865,0.007583373169236072,0.04716857420690654
14827L,mc1,1,0.005011889338880738,0.0026176289634495106,0.010792390165743605,0.05100682558758587
14827L,mc1,2,0.004863579705951399,0.002551530108336667,0.010395614000127923,0.048795997963496686
14827L,mc1,4,0.004643562588933474,0.0024799427286822926,0.00997264146237409,0.048587786487927685
14827L,mc1,8,0.004376033388004894,0.0023803346906043836,0.009406663952178854,0.046726012443298805
14827L,mc1,16,0.003995668530123488,0.002218044097136091,0.008545755139387618,0.04452037863594249
14827L,mc1,32,0.003488926154978186,0.001989484897206855,0.007444254761341509,0.037842511295538096
14827L,mc1,64,0.002613703883159686,0.0015147694948125698,0.005700904015377778,0.03382495885644318
14726R,tpm,1,0.004456621094292301,0.002222903874058244,0.009368129461007152,0.1009700404136206
14726R,tpm,2,0.004336366671312309,0.00216928668703448,0.00911655447089858,0.09509765973435746
14726R,tpm,4,0.004214595349076054,0.00213062514233002,0.00893531870892925,0.08920460057604623
14726R,tpm,8,0.004130727299533634,0.002090958458175542,0.008747366591631752,0.08053563587400193
14726R,tpm,16,0.0040309736439720556,0.002045531162437364,0.008539076270119784,0.06970054691011321
14726R,tpm,32,0.0038996412275165322,0.0019954646846755846,0.008380114874066301,0.06196558953061556
14726R,tpm,64,0.003374028447038802,0.001734322623588551,0.007274442175253469,0.05465991038134203
14726R,mc1,1,0.004276515765592994,0.002326274282065347,0.009234694642661308,0.07208843803985096
14726R,mc1,2,0.0040530153249458975,0.002223536400912994,0.008724285859721785,0.05725492021454297
14726R,mc1,4,0.003835774416380934,0.0021296877004084126,0.008246896113450967,0.04778265653350057
14726R,mc1,8,0.0036318589132384844,0.0020257671684401632,0.007801369300838201,0.043814712334907524
14726R,mc1,16,0.0033992491686240223,0.0019068561230741212,0.007279582293902043,0.042996147407707554
14726R,mc1,32,0.0030711911796805526,0.0017405753124704894,0.0066156897755971535,0.036716966502205316
14726R,mc1,64,0.002428184542931676,0.0013709809788168274,0.005140865878757153,0.027277447754720328
15294R,tpm,1,0.005409277524921834,0.0024226204313429907,0.010357178230792265,0.15990954936073323
15294R,tpm,2,0.005325918567912146,0.002389048068461419,0.010208178588375902,0.15660549356541686
15294R,tpm,4,0.005264604587511212,0.0023636256476717776,0.01017772449182439,0.15352218908265775
15294R,tpm,8,0.005194204093703565,0.0023326738902617935,0.010059691233795718,0.15244829377691999
15294R,tpm,16,0.005043346463409996,0.0022837128883279514,0.009841957404742844,0.15559302508750547
15294R,tpm,32,0.004759464175184838,0.0022241878335437083,0.009563541318498793,0.15451836375224193
15294R,tpm,64,0.0038809574236713766,0.001932889577346474,0.008234074555919185,0.09755899765107262
15294R,mc1,1,0.0046366814573211654,0.0025738636101824025,0.010256609619043159,0.07941249523528539
15294R,mc1,2,0.004472302722142735,0.002491294471698705,0.00974079261151813,0.06511718769228589
15294R,mc1,4,0.0042885993420359,0.002414844510283098,0.009425671197533599,0.0644729765575888
15294R,mc1,8,0.004114297951947663,0.002337941848746727,0.0090337647405053,0.0662637293373088
15294R,mc1,16,0.003878156697862547,0.0022286524901547703,0.008453492146199571,0.07291791005064602
15294R,mc1,32,0.0035366511574491063,0.0020606115408600694,0.007816482707018475,0.05444338822844711
15294R,mc1,64,0.0028185190812127156,0.0016281484136348161,0.006200217921828315,0.04256681186106886
50021R,tpm,1,0.004829573860605151,0.002159191911900095,0.009373415038629608,0.15937848641196573
50021R,tpm,2,0.004818387065791752,0.0021454895213987545,0.009336227764017296,0.1784404326746267
50021R,tpm,4,0.004804017213509581,0.0021267991008789944,0.009188674283335769,0.19043640758528405
